time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-26T00:01:49.480Z,-21.0813,-69.0389,112.46,4.2,mb,,64,0.42,0.69,us,us60003s83,2019-05-26T00:25:43.040Z,"149km SE of Iquique, Chile",earthquake,5.2,5.3,0.147,13,reviewed,us,us
2019-05-25T23:58:52.109Z,39.8021,143.3001,30.88,4.6,mb,,145,1.973,0.62,us,us60003s84,2019-05-26T00:20:00.040Z,"116km E of Miyako, Japan",earthquake,7.1,6.1,0.073,55,reviewed,us,us
2019-05-25T23:53:46.154Z,44.1098,-129.082,10,4,mb,,212,3.653,0.79,us,us60003s7z,2019-05-27T03:25:57.987Z,"Off the coast of Oregon",earthquake,11,2,0.182,8,reviewed,us,us
2019-05-25T23:51:45.550Z,18.8963,-64.86,31,3.16,md,12,338,1.2436,0.32,pr,pr2019145015,2019-05-28T04:10:53.040Z,"51km NNW of Road Town, British Virgin Islands",earthquake,2.75,19.71,0.37,9,reviewed,pr,pr
2019-05-25T23:20:13.560Z,19.5946,-64.978,39,3.55,md,13,334,1.6935,0.34,pr,pr2019145014,2019-05-28T04:50:08.040Z,"127km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.16,23.31,0.11,11,reviewed,pr,pr
2019-05-25T22:35:27.087Z,40.0034,20.5212,37.54,4.1,mb,,59,0.629,1.33,us,us60003s77,2019-05-25T23:08:37.651Z,"3km WSW of Kefalovryson, Greece",earthquake,2.7,13.3,0.233,5,reviewed,us,us
2019-05-25T20:30:53.916Z,3.1688,122.0671,587.16,4.7,mb,,72,2.413,0.62,us,us60003s6d,2019-05-25T20:41:44.040Z,"232km NNE of Kali, Indonesia",earthquake,11.9,11.1,0.097,32,reviewed,us,us
2019-05-25T20:17:21.720Z,19.1058,-64.9053,33,3.05,md,15,317,1.3487,0.54,pr,pr2019145012,2019-05-28T05:33:10.040Z,"82km NNW of Road Town, British Virgin Islands",earthquake,3.96,32.82,0.32,10,reviewed,pr,pr
2019-05-25T18:26:41.109Z,34.8285,45.7717,10,4.2,mb,,69,0.29,0.68,us,us60003s50,2019-05-27T15:31:18.040Z,"41km NNW of Sarpol-e Zahab, Iran",earthquake,5.5,1.9,0.091,37,reviewed,us,us
2019-05-25T16:18:29.863Z,-6.4892,129.0885,10,5,mb,,44,2.647,1.15,us,us60003s4d,2019-05-25T17:08:10.040Z,"294km WNW of Saumlaki, Indonesia",earthquake,4,1.9,0.091,39,reviewed,us,us
2019-05-25T15:33:11.790Z,38.8106651,-122.8259964,1.71,2.59,md,38,47,0.003066,0.04,nc,nc73186941,2019-05-25T20:24:42.290Z,"7km WNW of The Geysers, CA",earthquake,0.16,0.24,0.19,17,automatic,nc,nc
2019-05-25T15:13:35.447Z,6.8052,-73.038,148.66,4.2,mb,,42,0.907,1.77,us,us60003s3s,2019-05-27T02:23:04.723Z,"12km N of Aratoca, Colombia",earthquake,7.3,2.2,0.08,44,reviewed,us,us
2019-05-25T14:48:27.892Z,31.6765,-104.5057,5,2.6,ml,,78,0.477,0.79,us,us60003s3n,2019-05-25T16:42:15.040Z,"77km NNE of Van Horn, Texas",earthquake,2.2,2,0.137,18,reviewed,us,us
2019-05-25T14:14:49.140Z,18.9833,-64.9083,31,3.19,md,16,318,1.2618,0.39,pr,pr2019145009,2019-05-25T18:08:52.040Z,"66km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.46,23.72,0.23,7,reviewed,pr,pr
2019-05-25T13:44:24.590Z,47.685,-123.520833333333,-1.07,2.72,ml,39,49,,0.78,uw,uw61523956,2019-05-28T13:55:37.014Z,"34km NE of Quinault Census Designated Place, Washington",earthquake,0.69,2.04,0.154644610240668,26,reviewed,uw,uw
2019-05-25T12:56:28.008Z,-8.4644,-79.4854,57.41,4.7,mb,,169,4.361,0.78,us,us60003s39,2019-05-26T08:29:06.045Z,"61km WSW of Moche, Peru",earthquake,9.8,6.8,0.051,118,reviewed,us,us
2019-05-25T11:23:44.213Z,-21.1197,-69.011,120.45,4.5,mb,,67,0.451,0.77,us,us60003s2z,2019-05-25T11:43:16.040Z,"149km N of Calama, Chile",earthquake,7.6,4.5,0.191,9,reviewed,us,us
2019-05-25T11:07:27.264Z,62.8101,-149.6216,67.5,3,ml,,,,0.65,ak,ak0196nzinbp,2019-05-25T11:27:42.040Z,"59km NNE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-25T10:55:54.460Z,17.9686,-68.0521,51,2.83,md,14,215,0.708,0.22,pr,pr2019145008,2019-05-25T13:10:17.412Z,"74km SE of Boca de Yuma, Dominican Republic",earthquake,1.18,2.72,0.32,12,reviewed,pr,pr
2019-05-25T10:55:28.492Z,60.1242,-153.1623,122.8,2.5,ml,,,,0.61,ak,ak0196nz7i7e,2019-05-25T20:57:37.060Z,"46km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
